hhid,weight,account_num,account_type,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246,mm_account
1258,211.93007,1,None,District_C,Urban,male,31,5,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,no,no,no,yes,no,no,no,yes,yes,no,no,yes
1259,451.86295,1,Mobile Money,District_A,Urban,male,23,6,secondary 3,no,yes,no,Company_A,,yes,,,yes,yes,no,no,no,yes,,yes,no,yes
1260,192.93968,1,Mobile Money,District_A,Urban,female,22,3,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,yes,yes,yes,yes,yes,no,,yes,no,yes
1260,192.93968,2,SACCO Account,District_A,Urban,female,22,3,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,yes,yes,yes,yes,yes,no,,yes,no,yes
1260,192.93968,3,VSLA Account,District_A,Urban,female,22,3,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,yes,yes,yes,yes,yes,no,,yes,no,yes
1261,388.13226,1,Mobile Money,District_B,Rural,female,24,3,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes
1261,388.13226,2,SACCO Account,District_B,Rural,female,24,3,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes
1261,388.13226,3,VSLA Account,District_B,Rural,female,24,3,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes
1262,1027.6144,1,Mobile Money,District_C,Rural,female,28,3,primary 6,yes,yes,no,,,,,,yes,yes,no,no,no,no,,no,no,no
1262,1027.6144,2,VSLA Account,District_C,Rural,female,28,3,primary 6,yes,yes,no,,,,,,yes,yes,no,no,no,no,,no,no,no
1263,582.19838,1,Mobile Money,District_B,Rural,male,20,6,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,yes,,no,no,no
1263,582.19838,2,VSLA Account,District_B,Rural,male,20,6,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,yes,,no,no,no
1264,1265.3366,1,SACCO Account,District_B,Rural,male,42,4,primary 6,yes,yes,no,,,,,,,,,,,,,,,no
1264,1265.3366,2,VSLA Account,District_B,Rural,male,42,4,primary 6,yes,yes,no,,,,,,,,,,,,,,,no
1265,45.980952,1,None,District_A,Rural,female,31,1,primary 6,no,yes,no,Company_A Company_B,Company_B,no,no,,yes,no,no,yes,no,yes,,no,yes,yes
1266,544.1462,1,SACCO Account,District_A,Rural,male,32,5,university,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no,yes
1267,111.34603,1,SACCO Account,District_A,Rural,male,50,7,primary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,,,,,,,,,,,yes
1267,111.34603,2,VSLA Account,District_A,Rural,male,50,7,primary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,,,,,,,,,,,yes
1268,261.47217,1,Mobile Money,District_C,Rural,female,66,4,,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1268,261.47217,2,MFI Account,District_C,Rural,female,66,4,,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1268,261.47217,3,SACCO Account,District_C,Rural,female,66,4,,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1268,261.47217,4,VSLA Account,District_C,Rural,female,66,4,,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1269,410.18732,1,Mobile Money,District_B,Rural,male,47,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,,,no,yes,no,no,no,no,,no,no,yes
1269,410.18732,2,Bank Account,District_B,Rural,male,47,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,,,no,yes,no,no,no,no,,no,no,yes
1269,410.18732,3,SACCO Account,District_B,Rural,male,47,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,,,no,yes,no,no,no,no,,no,no,yes
1269,410.18732,4,VSLA Account,District_B,Rural,male,47,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,,,no,yes,no,no,no,no,,no,no,yes
1270,137.839,1,Mobile Money,District_A,Rural,female,33,6,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1271,342.00973,1,Mobile Money,District_C,Rural,female,50,6,,yes,yes,yes,,,,yes,,no,yes,yes,yes,no,no,,no,yes,no
1272,1105.0225,1,Mobile Money,District_B,Rural,female,58,6,,no,,,,,,,,,,,,,,,,,no
1272,1105.0225,2,SACCO Account,District_B,Rural,female,58,6,,no,,,,,,,,,,,,,,,,,no
1272,1105.0225,3,VSLA Account,District_B,Rural,female,58,6,,no,,,,,,,,,,,,,,,,,no
1273,629.80554,1,None,District_B,Rural,female,19,2,primary 6,yes,yes,,,,,,,no,no,no,no,no,yes,,no,no,no
1274,196.98173,1,Mobile Money,District_B,Rural,male,50,5,primary 4,no,yes,no,Company_A Company_B,Company_A,yes,yes,no,yes,yes,yes,yes,no,yes,,no,no,yes
1274,196.98173,2,Bank Account,District_B,Rural,male,50,5,primary 4,no,yes,no,Company_A Company_B,Company_A,yes,yes,no,yes,yes,yes,yes,no,yes,,no,no,yes
1274,196.98173,3,VSLA Account,District_B,Rural,male,50,5,primary 4,no,yes,no,Company_A Company_B,Company_A,yes,yes,no,yes,yes,yes,yes,no,yes,,no,no,yes
1275,185.88798,1,Mobile Money,District_B,Rural,female,41,5,primary 6,yes,yes,no,,,,,,no,no,no,no,no,no,,no,no,no
1276,108.19048,1,Mobile Money,District_A,Urban,male,43,2,secondary 3,no,no,no,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,yes,yes,,yes,no,yes
1276,108.19048,2,VSLA Account,District_A,Urban,male,43,2,secondary 3,no,no,no,Company_A Company_B,Company_B,yes,no,no,yes,yes,no,no,yes,yes,,yes,no,yes
1277,888.62698,1,Mobile Money,District_A,Rural,female,26,6,primary 6,no,yes,no,Company_A Company_B,Company_B,yes,,,no,no,no,yes,yes,yes,,no,no,yes
1277,888.62698,2,Bank Account,District_A,Rural,female,26,6,primary 6,no,yes,no,Company_A Company_B,Company_B,yes,,,no,no,no,yes,yes,yes,,no,no,yes
1278,105.52593,1,Mobile Money,District_B,Rural,female,64,1,primary 4,no,yes,no,Company_A Company_B,Company_A,yes,no,,no,no,no,no,no,no,,no,no,yes
1279,158.26337,1,SACCO Account,District_B,Rural,male,20,2,secondary 5,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,no,yes,yes,no,yes,yes,no,no,yes
1279,158.26337,2,VSLA Account,District_B,Rural,male,20,2,secondary 5,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,no,yes,yes,no,yes,yes,no,no,yes
1280,1273.6969,1,Mobile Money,District_A,Urban,male,36,6,university,no,yes,no,Company_A Company_B,Company_A,yes,no,yes,yes,yes,yes,yes,no,yes,,yes,no,yes
1280,1273.6969,2,MFI Account,District_A,Urban,male,36,6,university,no,yes,no,Company_A Company_B,Company_A,yes,no,yes,yes,yes,yes,yes,no,yes,,yes,no,yes
1280,1273.6969,3,SACCO Account,District_A,Urban,male,36,6,university,no,yes,no,Company_A Company_B,Company_A,yes,no,yes,yes,yes,yes,yes,no,yes,,yes,no,yes
1280,1273.6969,4,VSLA Account,District_A,Urban,male,36,6,university,no,yes,no,Company_A Company_B,Company_A,yes,no,yes,yes,yes,yes,yes,no,yes,,yes,no,yes
1281,199.84876,1,Mobile Money,District_B,Rural,male,28,3,primary 4,no,yes,no,Company_A,,yes,no,,no,yes,no,yes,no,no,,no,yes,yes
1281,199.84876,2,Bank Account,District_B,Rural,male,28,3,primary 4,no,yes,no,Company_A,,yes,no,,no,yes,no,yes,no,no,,no,yes,yes
1281,199.84876,3,VSLA Account,District_B,Rural,male,28,3,primary 4,no,yes,no,Company_A,,yes,no,,no,yes,no,yes,no,no,,no,yes,yes
1282,211.1408,1,Mobile Money,District_B,Rural,female,23,3,,no,yes,no,Company_A Company_C,Company_A,yes,no,no,yes,yes,no,yes,no,no,,no,no,yes
1282,211.1408,2,VSLA Account,District_B,Rural,female,23,3,,no,yes,no,Company_A Company_C,Company_A,yes,no,no,yes,yes,no,yes,no,no,,no,no,yes
1283,180.62222,1,None,District_C,Urban,female,30,5,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,no,yes,no,no,,no,no,yes
1284,59.073857,1,VSLA Account,District_A,Rural,female,26,5,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1285,135.28433,1,Mobile Money,District_A,Urban,female,60,2,primary 6,no,yes,no,Company_A,,,no,no,no,yes,no,no,no,yes,,no,no,yes
1285,135.28433,2,Bank Account,District_A,Urban,female,60,2,primary 6,no,yes,no,Company_A,,,no,no,no,yes,no,no,no,yes,,no,no,yes
1285,135.28433,3,SACCO Account,District_A,Urban,female,60,2,primary 6,no,yes,no,Company_A,,,no,no,no,yes,no,no,no,yes,,no,no,yes
1285,135.28433,4,VSLA Account,District_A,Urban,female,60,2,primary 6,no,yes,no,Company_A,,,no,no,no,yes,no,no,no,yes,,no,no,yes
1286,561.59545,1,Mobile Money,District_B,Rural,female,20,6,primary 6,yes,yes,,,,,,,no,no,no,yes,no,no,,no,no,no
1286,561.59545,2,Bank Account,District_B,Rural,female,20,6,primary 6,yes,yes,,,,,,,no,no,no,yes,no,no,,no,no,no
1286,561.59545,3,SACCO Account,District_B,Rural,female,20,6,primary 6,yes,yes,,,,,,,no,no,no,yes,no,no,,no,no,no
1286,561.59545,4,VSLA Account,District_B,Rural,female,20,6,primary 6,yes,yes,,,,,,,no,no,no,yes,no,no,,no,no,no
1287,173.20178,1,Mobile Money,District_C,Rural,male,38,3,primary 5,yes,yes,no,,,,,,yes,yes,yes,no,no,no,,no,no,no
1287,173.20178,2,MFI Account,District_C,Rural,male,38,3,primary 5,yes,yes,no,,,,,,yes,yes,yes,no,no,no,,no,no,no
1288,587.3981,1,Mobile Money,District_B,Rural,male,45,5,university,no,yes,no,Company_A,,yes,no,,no,yes,no,yes,no,no,,no,no,yes
1288,587.3981,2,VSLA Account,District_B,Rural,male,45,5,university,no,yes,no,Company_A,,yes,no,,no,yes,no,yes,no,no,,no,no,yes
1289,14.582491,1,Mobile Money,District_A,Rural,female,40,6,tvet,no,yes,no,Company_C,,no,,,no,no,no,no,no,yes,,no,no,yes
1289,14.582491,2,Bank Account,District_A,Rural,female,40,6,tvet,no,yes,no,Company_C,,no,,,no,no,no,no,no,yes,,no,no,yes
1289,14.582491,3,Online Bank Account,District_A,Rural,female,40,6,tvet,no,yes,no,Company_C,,no,,,no,no,no,no,no,yes,,no,no,yes
1289,14.582491,4,SACCO Account,District_A,Rural,female,40,6,tvet,no,yes,no,Company_C,,no,,,no,no,no,no,no,yes,,no,no,yes
1290,302.93333,1,Mobile Money,District_A,Urban,male,31,4,university,no,yes,no,Company_A,,yes,yes,,yes,yes,no,yes,no,yes,yes,yes,yes,yes
1290,302.93333,2,Bank Account,District_A,Urban,male,31,4,university,no,yes,no,Company_A,,yes,yes,,yes,yes,no,yes,no,yes,yes,yes,yes,yes
1290,302.93333,3,MFI Account,District_A,Urban,male,31,4,university,no,yes,no,Company_A,,yes,yes,,yes,yes,no,yes,no,yes,yes,yes,yes,yes
1290,302.93333,4,VSLA Account,District_A,Urban,male,31,4,university,no,yes,no,Company_A,,yes,yes,,yes,yes,no,yes,no,yes,yes,yes,yes,yes
1291,1201.8511,1,Mobile Money,District_B,Rural,female,23,9,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes
1291,1201.8511,2,SACCO Account,District_B,Rural,female,23,9,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes
1291,1201.8511,3,VSLA Account,District_B,Rural,female,23,9,secondary 6,no,yes,no,Company_A Company_B,Company_B,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes
1292,265.27473,1,VSLA Account,District_A,Rural,female,38,5,primary 6,no,yes,no,Company_B,,no,,,no,yes,no,yes,no,yes,,no,no,yes
1293,317.89512,1,SACCO Account,District_C,Urban,male,47,3,university,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,yes,no,no,yes,,yes,no,yes
1293,317.89512,2,VSLA Account,District_C,Urban,male,47,3,university,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,yes,no,no,yes,,yes,no,yes
1294,59.073857,1,SACCO Account,District_A,Rural,female,42,6,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1295,303.04395,1,None,District_C,Rural,male,54,6,secondary 4,no,yes,no,Company_A,,yes,no,no,yes,yes,no,yes,no,yes,,no,yes,yes
1296,213.87654,1,Mobile Money,District_A,Urban,male,34,1,primary 3,no,yes,no,Company_A Company_B,Company_A,,no,,yes,yes,yes,no,no,yes,,no,no,yes
1296,213.87654,2,Bank Account,District_A,Urban,male,34,1,primary 3,no,yes,no,Company_A Company_B,Company_A,,no,,yes,yes,yes,no,no,yes,,no,no,yes
1296,213.87654,3,VSLA Account,District_A,Urban,male,34,1,primary 3,no,yes,no,Company_A Company_B,Company_A,,no,,yes,yes,yes,no,no,yes,,no,no,yes
1297,240.70873,1,Mobile Money,District_B,Rural,male,22,7,secondary 3,no,yes,no,Company_C,,yes,yes,no,no,yes,no,no,no,yes,,no,no,yes
1297,240.70873,2,Bank Account,District_B,Rural,male,22,7,secondary 3,no,yes,no,Company_C,,yes,yes,no,no,yes,no,no,no,yes,,no,no,yes
1297,240.70873,3,SACCO Account,District_B,Rural,male,22,7,secondary 3,no,yes,no,Company_C,,yes,yes,no,no,yes,no,no,no,yes,,no,no,yes
1297,240.70873,4,VSLA Account,District_B,Rural,male,22,7,secondary 3,no,yes,no,Company_C,,yes,yes,no,no,yes,no,no,no,yes,,no,no,yes
1298,442.3172,1,Mobile Money,District_A,Urban,female,40,6,secondary 1,no,yes,no,Company_A Company_B,Company_B,-97,,,no,yes,no,yes,yes,yes,,no,no,yes
1299,879.35698,1,Mobile Money,District_B,Rural,female,57,5,primary 5,no,no,,,,,,,,,,,,,,,,no
1299,879.35698,2,SACCO Account,District_B,Rural,female,57,5,primary 5,no,no,,,,,,,,,,,,,,,,no
1299,879.35698,3,VSLA Account,District_B,Rural,female,57,5,primary 5,no,no,,,,,,,,,,,,,,,,no
1300,313.80087,1,SACCO Account,District_C,Rural,female,26,2,primary 2,yes,yes,no,,,,,,no,yes,yes,no,no,no,,no,no,no
1300,313.80087,2,VSLA Account,District_C,Rural,female,26,2,primary 2,yes,yes,no,,,,,,no,yes,yes,no,no,no,,no,no,no
1301,320.19394,1,None,District_C,Rural,male,42,6,primary 4,yes,yes,,,,,,,,,,,,,,,,no
1302,138.6321,1,SACCO Account,District_B,Rural,female,41,5,primary 6,yes,yes,no,,,,no,,no,no,no,yes,no,no,,no,no,no
1302,138.6321,2,VSLA Account,District_B,Rural,female,41,5,primary 6,yes,yes,no,,,,no,,no,no,no,yes,no,no,,no,no,no
1303,180.01481,1,Mobile Money,District_B,Rural,female,60,2,primary 2,no,yes,,,,,,,,,,,,,,,,no
1303,180.01481,2,Bank Account,District_B,Rural,female,60,2,primary 2,no,yes,,,,,,,,,,,,,,,,no
1303,180.01481,3,VSLA Account,District_B,Rural,female,60,2,primary 2,no,yes,,,,,,,,,,,,,,,,no
1304,116.5507,1,Mobile Money,District_A,Urban,female,37,7,primary 2,no,yes,,,,,,,,,,,,,,,,no
1304,116.5507,2,VSLA Account,District_A,Urban,female,37,7,primary 2,no,yes,,,,,,,,,,,,,,,,no
1305,202.8237,1,Mobile Money,District_C,Rural,male,35,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,no,yes,no,no,no,yes,,no,no,yes
1305,202.8237,2,SACCO Account,District_C,Rural,male,35,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,no,yes,no,no,no,yes,,no,no,yes
