hhid,weight,account_num,account_type,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246,mm_account
1325,535.97685,1,Mobile Money,District_C,Rural,female,21,3,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,yes,no,no,yes
1325,535.97685,2,Bank Account,District_C,Rural,female,21,3,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,yes,no,no,yes
1325,535.97685,3,SACCO Account,District_C,Rural,female,21,3,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,yes,no,no,yes
1325,535.97685,4,VSLA Account,District_C,Rural,female,21,3,secondary 3,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,yes,no,no,yes
1326,2397.2498,1,Mobile Money,District_C,Rural,male,30,2,,no,yes,no,,,,,,,,,,,,,,,no
1326,2397.2498,2,SACCO Account,District_C,Rural,male,30,2,,no,yes,no,,,,,,,,,,,,,,,no
1326,2397.2498,3,VSLA Account,District_C,Rural,male,30,2,,no,yes,no,,,,,,,,,,,,,,,no
1327,315.38559,1,None,District_B,Rural,male,37,7,,no,yes,no,Company_A,,yes,no,,yes,yes,no,no,yes,no,,no,no,yes
1328,612.10864,1,Mobile Money,District_C,Rural,male,52,8,primary 6,no,yes,no,Company_B,,yes,no,,yes,yes,yes,no,no,yes,,no,no,yes
1328,612.10864,2,Bank Account,District_C,Rural,male,52,8,primary 6,no,yes,no,Company_B,,yes,no,,yes,yes,yes,no,no,yes,,no,no,yes
1328,612.10864,3,MFI Account,District_C,Rural,male,52,8,primary 6,no,yes,no,Company_B,,yes,no,,yes,yes,yes,no,no,yes,,no,no,yes
1328,612.10864,4,VSLA Account,District_C,Rural,male,52,8,primary 6,no,yes,no,Company_B,,yes,no,,yes,yes,yes,no,no,yes,,no,no,yes
1329,612.10864,1,Mobile Money,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_B Company_C,Company_B,yes,no,,yes,yes,no,no,no,yes,yes,yes,no,yes
1329,612.10864,2,Bank Account,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_B Company_C,Company_B,yes,no,,yes,yes,no,no,no,yes,yes,yes,no,yes
